Timestamp,CPU_Load,Freq0_MHz,Freq7_MHz,RAM_Used_MB,Temp_C,Battery_Perc,Voltage_mV
22:01:04,9,2208,1689,3300,31,100,4249
22:01:05,9,1401,1689,3300,31,100,4249
22:01:07,9,2208,1401,3300,31,100,4249
22:01:08,9,2208,1689,3300,31,100,4249
22:01:09,9,2208,1689,3300,31,100,4249
22:01:11,9,2208,1401,3301,31,100,4249
22:01:12,9,2208,1958,3301,31,100,4249
22:01:13,9,2208,2208,3301,31,100,4249
22:01:15,9,2208,1401,3301,31,100,4249
22:01:16,9,2208,1401,3301,31,100,4249
22:01:17,9,2208,1401,3301,31,100,4249
22:01:19,9,2208,2208,3301,31,100,4249
22:01:20,9,2208,1689,3301,31,100,4249
22:01:21,9,2208,1689,3301,32,100,4249
22:01:23,9,2208,1401,3301,32,100,4249
22:01:24,9,1804,1804,3302,32,100,4249
22:01:25,9,2208,1958,3302,32,100,4249
22:01:26,9,2208,1804,3301,32,100,4248
22:01:28,9,2208,1958,3302,32,100,4248
22:01:29,9,652,2208,3301,32,100,4248
22:01:31,9,2208,1401,3302,32,100,4248
22:01:32,9,2208,1958,3302,32,100,4248
22:01:33,9,2208,1689,3301,32,100,4248
22:01:34,9,2208,1958,3301,32,100,4248
22:01:36,9,2208,1804,3301,32,100,4248
22:01:37,9,2208,1958,3302,32,100,4249
22:01:38,9,2208,1401,3301,32,100,4249
22:01:40,9,2208,1401,3302,32,100,4249
22:01:41,9,2208,1689,3302,32,100,4249
22:01:42,9,2208,1401,3302,32,100,4249
22:01:44,9,2208,1958,3302,32,100,4249
22:01:45,9,2208,2208,3302,32,100,4249
22:01:46,9,2208,1401,3302,32,100,4248
22:01:48,9,2208,1689,3302,32,100,4248
22:01:49,9,2208,1689,3302,32,100,4248
22:01:50,9,2208,1401,3302,32,100,4248
22:01:52,9,2208,1804,3302,32,100,4248
22:01:53,9,2208,1401,3302,32,100,4248
22:01:54,9,2208,1958,3300,32,100,4248
22:01:56,9,2208,1401,3300,32,100,4248
22:01:57,9,2208,1958,3300,32,100,4249
22:01:58,9,2208,1689,3301,32,100,4249
22:02:00,9,2208,1401,3301,32,100,4249
22:02:01,9,2208,1401,3301,32,100,4249
22:02:02,9,2208,1958,3301,32,100,4249
22:02:04,9,1401,1401,3306,32,100,4249
22:02:05,9,1401,1401,3307,32,100,4249
22:02:06,9,2208,2208,3312,32,100,4249
22:02:07,9,2208,2208,3374,32,100,4132
22:02:09,9,2208,2208,3379,32,100,4132
